"code","iso3","year","rel","abs_pc","abs_sqrt"
"au","AUS",2001,NA,NA,NA
"au","AUS",2003,2.1,0.9,0.375
"au","AUS",2004,NA,NA,NA
"au","AUS",2008,1.25,0.375,0.2
"au","AUS",2010,1.8,0.6,0.25
"au","AUS",2014,2.3,0.35,0.2
"br","BRA",2006,9.7,16,3
"br","BRA",2009,8.9,10,3
"br","BRA",2011,9.6,8,4
"br","BRA",2013,9.2,7,0.8
"br","BRA",2016,NA,NA,NA
"ca","CAN",2000,NA,NA,NA
"ca","CAN",2004,1.9,0.55,0.05
"ca","CAN",2007,2.2,0.3,0.1
"ca","CAN",2010,1.75,0.2,0.01
"ca","CAN",2012,NA,NA,NA
"ca","CAN",2013,2.1,0.3,0.15
"ca","CAN",2014,NA,NA,NA
"ca","CAN",2015,NA,NA,NA
"ca","CAN",2016,NA,NA,NA
"ca","CAN",2017,NA,NA,NA
"cn","CHN",2002,3.8,35,7
"cn","CHN",2013,5.0,3,0.5
"in","IND",2004,5.6,60,17
"in","IND",2011,6.2,42,10
"ie","IRL",2000,NA,NA,NA
"ie","IRL",2002,NA,NA,NA
"ie","IRL",2003,NA,NA,NA
"ie","IRL",2004,0.9,0.4,0.01
"ie","IRL",2005,NA,NA,NA
"ie","IRL",2006,NA,NA,NA
"ie","IRL",2007,1.3,0.75,0.02
"ie","IRL",2008,NA,NA,NA
"ie","IRL",2009,NA,NA,NA
"ie","IRL",2010,1.8,0.52,0.2
"ie","IRL",2011,NA,NA,NA
"ie","IRL",2012,NA,NA,NA
"ie","IRL",2013,NA,NA,NA
"ie","IRL",2014,NA,NA,NA
"ie","IRL",2015,NA,NA,NA
"ie","IRL",2016,NA,NA,NA
"ie","IRL",2017,NA,NA,NA
"za","ZAF",2008,12.1,40,14
"za","ZAF",2010,12.8,37.5,13
"za","ZAF",2012,10.3,30,7.5
"za","ZAF",2015,11.6,NA,NA
"za","ZAF",2017,NA,NA,NA
"uk","GBR",2000,NA,NA,NA
"uk","GBR",2001,NA,NA,NA
"uk","GBR",2002,NA,NA,NA
"uk","GBR",2003,NA,NA,NA
"uk","GBR",2004,1.35,0.9,0.3
"uk","GBR",2005,NA,NA,NA
"uk","GBR",2006,NA,NA,NA
"uk","GBR",2007,1.5,0.7,0.375
"uk","GBR",2008,NA,NA,NA
"uk","GBR",2009,NA,NA,NA
"uk","GBR",2010,1.3,0.75,0.3
"uk","GBR",2011,NA,NA,NA
"uk","GBR",2012,NA,NA,NA
"uk","GBR",2013,0.9,0.55,0.2
"uk","GBR",2014,NA,NA,NA
"uk","GBR",2015,NA,NA,NA
"uk","GBR",2016,NA,NA,NA
"uk","GBR",2017,NA,NA,NA
"uk","GBR",2018,NA,NA,NA
"us","USA",2000,NA,NA,NA
"us","USA",2001,NA,NA,NA
"us","USA",2002,NA,NA,NA
"us","USA",2003,NA,NA,NA
"us","USA",2004,5.95,2.3,0.95
"us","USA",2005,NA,NA,NA
"us","USA",2006,NA,NA,NA
"us","USA",2007,5.7,2.05,0.8
"us","USA",2008,NA,NA,NA
"us","USA",2009,NA,NA,NA
"us","USA",2010,5.9,2.45,0.95
"us","USA",2011,NA,NA,NA
"us","USA",2012,NA,NA,NA
"us","USA",2013,5.1,2.15,0.9
"us","USA",2014,NA,NA,NA
"us","USA",2015,NA,NA,NA
"us","USA",2016,5.3,2.25,1.05
"us","USA",2017,NA,NA,NA
"us","USA",2018,NA,NA,NA